Frequency_Hz,Real,Imaginary
1.04318915228008,-0.0123012580660754,1.56137377090176e-05
1.06382138890443,-0.0123012574357461,1.59225461254491e-05
1.08486169072692,-0.0123012567802369,1.62374621239045e-05
1.1063181284773,-0.0123012560985421,1.65586064981375e-05
1.12819893250854,-0.0123012553896155,1.68861024300986e-05
1.15051249595384,-0.0123012546523692,1.72200755385008e-05
1.17326737794615,-0.0123012538856724,1.75606539259665e-05
1.19647230690127,-0.012301253088348,1.79079682286609e-05
1.22013618386597,-0.0123012522591727,1.82621516664648e-05
1.24426808593228,-0.0123012513968745,1.86233400933409e-05
1.26887726971929,-0.0123012505001298,1.89916720507574e-05
1.29397317492391,-0.0123012495675628,1.93672888192672e-05
1.31956542794172,-0.0123012485977424,1.9750334473865e-05
1.34566384555956,-0.0123012475891805,2.01409559387205e-05
