Frequency_Hz,Magnitude,Phase_deg
1.54339174452803,0.0123012609963799,179.892404856739
1.57391700795468,0.0123012604831087,179.890276839267
1.60504600125779,0.0123012599493341,179.888106733995
1.63679066503093,0.0123012593942367,179.885893708524
1.66916317602918,0.0123012588169648,179.883636913988
1.70217595183998,0.0123012582166325,179.881335484738
1.73584165564632,0.0123012575923187,179.878988537999
1.77017320108409,0.0123012569430657,179.876595173545
1.80518375719563,0.0123012562678768,179.874154473338
1.84088675348109,0.0123012555657163,179.871665501191
1.87729588504983,0.0123012548355066,179.869127302398
1.91442511787363,0.0123012540761274,179.866538903374
1.95228869414379,0.0123012532864131,179.863899311277
1.99090113773427,0.0123012524651525,179.861207513634
2.03027725977277,0.0123012516110849,179.858462477946
2.07043216432207,0.0123012507228999,179.855663151295
