Time_s,Output
0.456228,1.51598608704282e-318
0.457229,1.44604615421754e-318
0.458229,1.38033048266419e-318
0.45923,1.31770272139736e-318
0.46023,1.25863717343703e-318
0.461231,-5.32563240965196e-319
0.462231,-7.13727231982265e-319
0.463232,-6.78826434760039e-319
0.464232,-6.46010594563264e-319
0.465233,-6.14820230341306e-319
0.466233,-5.85275104719999e-319
0.467234,-5.57740826277266e-319
0.468234,-5.31668982146224e-319
0.469235,-5.06980521823537e-319
0.470235,-4.83626038744621e-319
0.471236,-4.615314230626e-319
0.472236,-4.40578099022473e-319
0.473237,-4.20761125967781e-319
0.474237,-4.02253426874568e-319
0.475238,-3.84590580035743e-319
0.476238,-3.6795044908381e-319
0.477239,-3.52664058001482e-319
0.478239,-3.37407310857904e-319
0.47924,-3.23326439951429e-319
0.48024,-3.10431326594972e-319
0.481241,-2.97649848337059e-319
0.482241,-2.86148000101875e-319
0.483242,-2.74843778125027e-319
0.484242,-2.64735195011115e-319
0.485243,-2.54379579074283e-319
0.486243,-2.45343118411846e-319
0.487244,-2.3611891280399e-319
0.488244,-2.28055761463861e-319
0.489245,1.67306437782513e-318
0.490245,1.59433007650387e-318
0.491246,1.52032398341331e-318
0.492246,1.45030994074115e-318
0.493247,1.38421877929696e-318
0.494247,1.32147244227512e-318
0.495248,1.26213515820959e-318
0.496248,-3.3352889553805e-319
0.497249,-7.15866536228757e-319
0.498249,-6.81143602639035e-319
0.49925,-6.47942391238503e-319
0.50025,-6.16618629292168e-319
0.501251,-5.86974690541693e-319
0.502251,-5.5941076816021e-319
0.503252,-5.33121535144997e-319
0.504252,-5.08418252852935e-319
0.505253,-4.84940253362559e-319
0.506253,-4.6284069702408e-319
0.507254,-4.41788559854784e-319
0.508254,-4.21897476953216e-319
0.509255,-4.03355193264794e-319
0.510255,-3.85642939861385e-319
0.511256,-3.68983046283618e-319
0.512256,-3.53494088286495e-319
0.513257,-3.38276866394585e-319
0.514257,-3.24057657107274e-319
0.515258,-3.11127959155608e-319
0.516258,-2.98395887462279e-319
0.517259,-2.8681498872376e-319
0.518259,-2.75471241495245e-319
0.51926,-2.65333014442583e-319
0.52026,-2.54992220475126e-319
0.521261,-2.45827302744771e-319
0.522261,-2.3674143551775e-319
0.523262,-2.28460895293451e-319
0.524262,1.67783705196396e-318
0.525263,1.59909286932978e-318
0.526263,1.52469152372255e-318
0.527264,1.45438598231934e-318
0.528264,1.38812189789911e-318
0.529265,1.32517299396247e-318
0.530265,1.26572701545486e-318
0.531266,4.28157288686024e-320
0.532266,-7.18079950322126e-319
0.533267,-6.83223619008026e-319
0.534267,-6.49884069226659e-319
0.535268,-6.18520782028657e-319
0.536268,-5.88703920302137e-319
0.537269,-5.61036244135028e-319
0.538269,-5.34747011119815e-319
0.53927,-5.09846102569416e-319
0.54027,-4.86338459140289e-319
0.541271,-4.64120327046809e-319
0.542271,-4.43038545938763e-319
0.543272,-4.23112878441985e-319
0.544272,-4.04353205869393e-319
0.545273,-3.86660715091818e-319
0.546273,-3.69990940201134e-319
0.547274,-3.54358703166717e-319
0.548274,-3.39136540618348e-319
0.549275,-3.24897568705204e-319
0.550275,-3.11977752066455e-319
0.551276,-2.99087579366457e-319
0.552276,-2.87516561940855e-319
0.553277,-2.76227161933383e-319
0.554277,-2.65846842714258e-319
0.555278,-2.55580158593677e-319
0.556278,-2.46380656268113e-319
0.557279,-2.37191035255466e-319
0.558279,-2.28925317000542e-319
0.55928,1.68250597231716e-318
0.56028,1.60391000937673e-318
0.561281,1.52912329256574e-318
0.562281,1.45857071833961e-318
0.563282,1.39200031321896e-318
0.564282,1.32901682468712e-318
0.565283,1.26938804189054e-318
0.566283,8.37401744449246e-319
0.567284,-7.20229135881536e-319
0.568284,-6.85259169468892e-319
0.569285,-6.51786221963148e-319
0.570285,-6.2031424032306e-319
0.571286,-5.90606073038626e-319
0.572286,-5.62745711269638e-319
0.573287,-5.36268733309006e-319
0.574287,-5.11353002789232e-319
0.575288,-4.87716902292187e-319
0.576288,-4.65439482321205e-319
0.577289,-4.44283591366283e-319
0.578289,-4.24283814022629e-319
0.57929,-4.05400625038576e-319
0.58029,-3.87722956230377e-319
0.581291,-3.71127291186569e-319
0.582291,-3.55327071832566e-319
0.583292,-3.40030799437321e-319
0.584292,-3.25786886867718e-319
0.585293,-3.1267932528355e-319
0.586293,-2.9991760965147e-319
0.587294,-2.88336710912951e-319
0.588294,-2.7688920989881e-319
0.589295,-2.66538534618436e-319
0.590295,-2.56207621963895e-319
0.591296,-2.46973535043122e-319
0.592296,-2.37655456962556e-319
0.593297,-2.29374916738257e-319
0.594297,1.68706619822827e-318
0.595298,1.60852952316535e-318
0.596298,1.53372304372852e-318
0.597299,1.4627653356728e-318
0.598299,1.39597260101153e-318
0.5993,1.33283101147301e-318
0.6003,1.27296013650997e-318
0.601301,1.21637973874823e-318
0.602301,-7.22571007042823e-319
0.603302,-6.87299660586216e-319
0.604302,-6.53816831767555e-319
0.605303,-6.2218180846434e-319
0.606303,-5.92508225775115e-319
0.607304,-5.64311899366955e-319
0.608304,-5.37815158780489e-319
0.609305,-5.12795674475088e-319
0.610305,-4.89134870695751e-319
0.611306,-4.66714171687475e-319
0.612306,-4.45528636793802e-319
0.613307,-4.25434986977439e-319
0.614307,-4.06467806833594e-319
0.615308,-3.88765434743102e-319
0.616308,-3.72342692675339e-319
0.617309,-3.56260855903206e-319
0.618309,-3.40870711035251e-319
0.61931,-3.26789840128776e-319
0.62031,-3.13514296225021e-319
0.621311,-3.00579657616898e-319
0.622311,-2.89033343473588e-319
0.623312,-2.77427741452777e-319
0.624312,-2.6702271895136e-319
0.625313,-2.56760975487237e-319
0.626313,-2.47442897406672e-319
0.627314,-2.38287860989233e-319
0.628314,-2.29923329605141e-319
0.629315,1.69090508829646e-318
0.630315,1.61330219730417e-318
0.631316,1.53820915979276e-318
0.632316,1.46711311335621e-318
0.633317,1.3999201855218e-318
0.634317,1.33679835860912e-318
0.635318,1.27641859603086e-318
0.636318,1.21973444448349e-318
0.637319,-7.24828887044318e-319
0.638319,-6.89414261550417e-319
0.63932,-6.5579309435092e-319
0.64032,-6.24009851353953e-319
0.641321,-5.94346149977644e-319
0.642321,-5.66001603875732e-319
0.643322,-5.39386287534264e-319
0.644322,-5.1428281206907e-319
0.645323,-4.90478729252439e-319
0.646323,-4.6803826761833e-319
0.647324,-4.46763800908406e-319
0.648324,-4.26635566496833e-319
0.649325,-4.07609098475487e-319
0.650325,-3.89802972599368e-319
0.651326,-3.73276476745979e-319
0.652326,-3.57229224569055e-319
0.653327,-3.41794613792974e-319
0.654327,-3.27931131770669e-319
0.655328,-3.14201047472741e-319
0.656328,-3.01315815429201e-319
0.657329,-2.89675628813181e-319
0.658329,-2.78060145479454e-319
0.65933,-2.6764524166512e-319
0.66033,-2.57284685071829e-319
0.661331,-2.48011072899389e-319
0.662331,-2.38984493549869e-319
0.663332,-2.30402573281607e-319
0.664332,1.69366691525671e-318
0.665333,1.61814404063342e-318
0.666333,1.54268045388763e-318
0.667334,1.47137195922336e-318
0.668334,1.40408021825978e-318
0.669335,1.34049891029647e-318
